Kingdom	Supergroup	Division	Class	Order	Family	Genus	Species
Eukaryota	Opisthokonta	Metazoa	Annelida	Annelida_X	Annelida_XX	Terebella	Terebella_lapidaria
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Crepidotus	Crepidotus_variabilis
Eukaryota	Opisthokonta	Metazoa	Rotifera	Rotifera_X	Rotifera_XX	Trichocerca	Trichocerca_elongata
Eukaryota	Alveolata	Ciliophora	Cyclotrichium_like_organism	Cyclotrichium_like_organism_X	Cyclotrichium_like_organism_XX	Cyclotrichium	NA
Eukaryota	Opisthokonta	Metazoa	Mollusca	Bivalvia	Heteroconchia	Tridacna	Tridacna_crocea
Eukaryota	Opisthokonta	Metazoa	Cnidaria	Cnidaria_X	Anthozoa	Madracis	Madracis_mirabilis
Eukaryota	Rhizaria	Radiolaria	Polycystinea	Collodaria	Sphaerozoidae	Thalassicolla	Thalassicolla_caerulea
Eukaryota	Opisthokonta	Fungi	Basidiomycota	Agaricomycotina	Agaricomycetes	Hyphodontia	Hyphodontia_rimosissima
Eukaryota	Rhizaria	Cercozoa	Filosa-Metromonadea	Metromonadida	Metromonadidae	Metromonadidae_X	Metromonadidae_X_sp.
Eukaryota	Opisthokonta	Fungi	Ascomycota	Saccharomycotina	Saccharomycetales	Candida	Candida_boidinii
Eukaryota	Opisthokonta	Metazoa	Platyhelminthes	Turbellaria	Polycladida	Polycladida_X	Polycladida_X_sp.
Eukaryota	Opisthokonta	Metazoa	Entoprocta	Entoprocta_X	Entoprocta_XX	Loxosomella	NA
Eukaryota	Opisthokonta	Metazoa	Platyhelminthes	Trematoda	Digenea	Lecithaster	Lecithaster_gibbosus
Eukaryota	Opisthokonta	Fungi	Ascomycota	Pezizomycotina	Pezizomycetes	Peziza	Peziza_echinospora
